7.60006700e+03	1.80000000e-01	1.29493354e+00	3.14576754e-01	-1.08175515e-01	9.63010543e-02	1.24532659e-01
7.61064100e+03	1.80000000e-01	1.42906049e+00	3.15572705e-01	-1.08225984e-01	8.66473310e-02	1.23770000e-01
7.62455600e+03	1.80000000e-01	1.50032253e+00	3.14414762e-01	-1.08199486e-01	8.32896666e-02	1.24981515e-01
7.63720000e+03	1.80000000e-01	1.55690086e+00	3.05698454e-01	-1.08212333e-01	8.10272012e-02	1.26130256e-01
7.64969900e+03	1.80000000e-01	1.60220314e+00	3.06760574e-01	-1.08228071e-01	8.00076946e-02	1.28159761e-01
7.66219900e+03	1.80000000e-01	1.63047497e+00	3.10489635e-01	-1.08220761e-01	7.94875648e-02	1.29614518e-01
7.68733100e+03	1.80000000e-01	1.66049730e+00	3.03526721e-01	-1.08229836e-01	7.89832907e-02	1.31150739e-01
7.70001000e+03	1.80000000e-01	1.67349413e+00	3.04579169e-01	-1.08220451e-01	7.91675709e-02	1.32479603e-01
7.70038800e+03	1.80000000e-01	1.67960580e+00	3.02388501e-01	-1.08204741e-01	7.85549610e-02	1.31942597e-01
7.70071900e+03	1.80000000e-01	1.69070668e+00	3.10980032e-01	-1.08275317e-01	7.84818947e-02	1.32688432e-01
7.70107100e+03	1.80000000e-01	1.69619794e+00	3.10512558e-01	-1.08209606e-01	7.82064590e-02	1.32653001e-01
7.70143400e+03	1.80000000e-01	1.70079670e+00	3.05506974e-01	-1.08229391e-01	7.82343206e-02	1.33078187e-01
7.70179800e+03	1.80000000e-01	1.69756375e+00	3.05852645e-01	-1.08216578e-01	7.79684530e-02	1.32355976e-01
7.70215500e+03	1.80000000e-01	1.70092531e+00	3.08858278e-01	-1.08226187e-01	7.79454514e-02	1.32578426e-01
7.70251500e+03	1.80000000e-01	1.69790510e+00	3.03376806e-01	-1.08206125e-01	7.77624369e-02	1.32022647e-01
7.70287900e+03	1.80000000e-01	1.69646800e+00	3.15521796e-01	-1.08201139e-01	7.75243294e-02	1.31516630e-01
7.70324200e+03	1.80000000e-01	1.69867931e+00	3.18435358e-01	-1.08208671e-01	7.77128248e-02	1.32013206e-01
7.70360000e+03	1.80000000e-01	1.70953097e+00	3.07503394e-01	-1.08164197e-01	7.80451452e-02	1.33410259e-01
7.70396100e+03	1.80000000e-01	1.71356246e+00	3.12850603e-01	-1.08227166e-01	7.80677135e-02	1.33769831e-01
7.70432500e+03	1.80000000e-01	1.71514462e+00	3.05674747e-01	-1.08203253e-01	7.79821543e-02	1.33743124e-01
7.70468700e+03	1.80000000e-01	1.71823281e+00	3.06582021e-01	-1.08223979e-01	7.78962655e-02	1.33796353e-01
7.70502000e+03	1.80000000e-01	1.72489406e+00	3.11000479e-01	-1.08199902e-01	7.80685713e-02	1.34657542e-01
7.70538100e+03	1.80000000e-01	1.72495940e+00	3.19473922e-01	-1.08234347e-01	7.79164203e-02	1.34389059e-01
7.70574900e+03	1.80000000e-01	1.73015015e+00	3.13957364e-01	-1.08247182e-01	7.79826951e-02	1.34915836e-01
7.70611200e+03	1.80000000e-01	1.73921724e+00	3.01816506e-01	-1.08233899e-01	7.82905477e-02	1.36156188e-01
7.70647100e+03	1.80000000e-01	1.74644196e+00	3.04486699e-01	-1.08213567e-01	7.84301080e-02	1.36974622e-01
7.70683100e+03	1.80000000e-01	1.75354816e+00	3.11995078e-01	-1.08193367e-01	7.84212161e-02	1.37513707e-01
7.70719600e+03	1.80000000e-01	1.77113161e+00	3.13026004e-01	-1.08208652e-01	7.85446873e-02	1.39068898e-01
7.70755700e+03	1.80000000e-01	1.78586916e+00	3.04670077e-01	-1.08235040e-01	7.86282291e-02	1.40418709e-01
7.70791500e+03	1.80000000e-01	1.79091049e+00	3.16573557e-01	-1.08205089e-01	7.85231462e-02	1.40605333e-01
7.70828000e+03	1.80000000e-01	1.79205338e+00	3.17640702e-01	-1.08206697e-01	7.83948978e-02	1.40497235e-01
7.70864600e+03	1.80000000e-01	1.79664344e+00	3.10642302e-01	-1.08219825e-01	7.85671245e-02	1.41153614e-01
7.70898200e+03	1.80000000e-01	1.80328492e+00	3.09779333e-01	-1.08237020e-01	7.89787147e-02	1.42463939e-01
7.70929000e+03	1.80000000e-01	1.80409267e+00	2.99227256e-01	-1.08255186e-01	7.90370503e-02	1.42586988e-01
7.70959600e+03	1.80000000e-01	1.79706224e+00	3.13025331e-01	-1.08209160e-01	7.89272154e-02	1.41836671e-01
7.70990300e+03	1.80000000e-01	1.79172138e+00	3.12650671e-01	-1.08206252e-01	7.87933544e-02	1.41183625e-01
7.71021100e+03	1.80000000e-01	1.79088648e+00	3.12520916e-01	-1.08202682e-01	7.88846836e-02	1.41263849e-01
7.71051400e+03	1.80000000e-01	1.79509697e+00	2.98335697e-01	-1.08224451e-01	7.91391340e-02	1.42043448e-01
7.71082300e+03	1.80000000e-01	1.79395998e+00	3.13271971e-01	-1.08233469e-01	7.90535507e-02	1.41815455e-01
7.71110800e+03	1.80000000e-01	1.79419614e+00	3.06286490e-01	-1.08227038e-01	7.91185515e-02	1.41952441e-01
7.71141600e+03	1.80000000e-01	1.79052783e+00	3.12380918e-01	-1.08211213e-01	7.89847660e-02	1.41406817e-01
7.71172500e+03	1.80000000e-01	1.78486406e+00	2.99181448e-01	-1.08193901e-01	7.88834284e-02	1.40792803e-01
7.71202900e+03	1.80000000e-01	1.78294660e+00	2.98834102e-01	-1.08219051e-01	7.87916225e-02	1.40477718e-01
